lakeid,metric,sampledate,year,daynum
CB,secchi_min,2019-05-22,2019,142
CR,secchi_min,1982-05-10,1982,130
CR,secchi_min,1983-11-29,1983,333
CR,secchi_min,1984-06-07,1984,159
CR,secchi_min,1985-05-15,1985,135
CR,secchi_min,1986-05-05,1986,125
CR,secchi_min,1987-10-07,1987,280
CR,secchi_min,1988-05-12,1988,133
CR,secchi_min,1989-05-02,1989,122
CR,secchi_min,1990-11-01,1990,305
CR,secchi_min,1991-05-08,1991,128
CR,secchi_min,1992-11-09,1992,314
CR,secchi_min,1993-11-09,1993,313
CR,secchi_min,1994-05-02,1994,122
CR,secchi_min,1995-11-01,1995,305
CR,secchi_min,1996-11-05,1996,310
CR,secchi_min,1997-05-07,1997,127
CR,secchi_min,1998-11-04,1998,308
CR,secchi_min,1999-05-05,1999,125
CR,secchi_min,2000-04-19,2000,110
CR,secchi_min,2001-05-03,2001,123
CR,secchi_min,2002-08-01,2002,213
CR,secchi_min,2003-10-16,2003,289
CR,secchi_min,2004-05-13,2004,134
CR,secchi_min,2005-05-02,2005,122
CR,secchi_min,2006-04-19,2006,109
CR,secchi_min,2007-05-24,2007,144
CR,secchi_min,2008-05-21,2008,142
CR,secchi_min,2009-04-28,2009,118
CR,secchi_min,2010-04-15,2010,105
CR,secchi_min,2011-06-01,2011,152
CR,secchi_min,2012-04-18,2012,109
CR,secchi_min,2013-06-05,2013,156
CR,secchi_min,2014-05-22,2014,142
CR,secchi_min,2015-04-20,2015,110
CR,secchi_min,2016-04-26,2016,117
CR,secchi_min,2017-05-03,2017,123
CR,secchi_min,2018-07-10,2018,191
CR,secchi_min,2019-05-22,2019,142
FI,secchi_min,1996-07-24,1996,206
FI,secchi_min,1997-04-10,1997,100
FI,secchi_min,1998-09-01,1998,244
FI,secchi_min,1999-08-31,1999,243
FI,secchi_min,2000-08-02,2000,215
FI,secchi_min,2001-05-23,2001,143
FI,secchi_min,2002-07-02,2002,183
FI,secchi_min,2003-09-05,2003,248
FI,secchi_min,2004-07-21,2004,203
FI,secchi_min,2005-08-05,2005,217
