lakeid,metric,sampledate,year,daynum
SP,doc_epiMax,1991-09-23,1991,266
SP,totpuf_epiMax,1991-05-07,1991,127
SP,doc_epiMax,1992-08-24,1992,237
SP,totpuf_epiMax,1992-06-02,1992,154
SP,doc_epiMax,1993-07-27,1993,208
SP,totpuf_epiMax,1993-10-18,1993,291
SP,doc_epiMax,1994-07-27,1994,208
SP,totpuf_epiMax,1994-05-05,1994,125
SP,doc_epiMax,1995-07-24,1995,205
SP,totpuf_epiMax,1995-11-13,1995,317
SP,doc_epiMax,1996-09-05,1996,249
SP,totpuf_epiMax,1996-06-10,1996,162
SP,doc_epiMax,1997-08-28,1997,240
SP,totpuf_epiMax,1997-05-06,1997,126
SP,doc_epiMax,1998-09-09,1998,252
SP,totpuf_epiMax,1998-11-12,1998,316
SP,doc_epiMax,1999-08-23,1999,235
SP,totpuf_epiMax,1999-05-04,1999,124
SP,doc_epiMax,2000-09-18,2000,262
SP,totpuf_epiMax,2000-11-16,2000,321
SP,doc_epiMax,2001-07-24,2001,205
SP,totpuf_epiMax,2001-11-15,2001,319
SP,doc_epiMax,2002-08-14,2002,226
SP,totpuf_epiMax,2002-04-23,2002,113
SP,doc_epiMax,2003-11-13,2003,317
SP,totpuf_epiMax,2003-04-29,2003,119
SP,doc_epiMax,2004-07-21,2004,203
SP,totpuf_epiMax,2004-04-30,2004,121
SP,doc_epiMax,2005-06-13,2005,164
SP,totpuf_epiMax,2005-11-15,2005,319
SP,doc_epiMax,2006-05-18,2006,138
SP,totpuf_epiMax,2006-04-20,2006,110
SP,doc_epiMax,2007-07-23,2007,204
SP,totpuf_epiMax,2007-07-16,2007,197
SP,doc_epiMax,2008-08-25,2008,238
SP,totpuf_epiMax,2008-07-01,2008,183
SP,doc_epiMax,2009-07-22,2009,203
SP,totpuf_epiMax,2009-11-11,2009,315
SP,doc_epiMax,2010-04-12,2010,102
SP,totpuf_epiMax,2010-10-26,2010,299
SP,doc_epiMax,2011-06-03,2011,154
SP,totpuf_epiMax,2011-05-03,2011,123
SP,doc_epiMax,2012-07-25,2012,207
SP,totpuf_epiMax,2012-11-12,2012,317
SP,doc_epiMax,2013-08-05,2013,217
SP,totpuf_epiMax,2013-10-02,2013,275
SP,doc_epiMax,2014-06-17,2014,168
SP,totpuf_epiMax,2014-05-19,2014,139
SP,doc_epiMax,2015-09-08,2015,251
SP,totpuf_epiMax,2015-04-23,2015,113
SP,doc_epiMax,2016-07-21,2016,203
SP,totpuf_epiMax,2016-05-24,2016,145
