lakeid,metric,sampledate,year,daynum
MO,iceoff,2020-03-20,2020,80
WI,iceoff,1992-03-08,1992,68
WI,iceoff,1993-04-09,1993,99
WI,iceoff,1994-03-26,1994,85
WI,iceoff,1995-03-17,1995,76
WI,iceoff,1996-03-25,1996,85
WI,iceoff,1997-03-26,1997,85
WI,iceoff,1998-02-26,1998,57
WI,iceoff,1999-03-11,1999,70
WI,iceoff,2000-03-04,2000,64
WI,iceoff,2001-04-05,2001,95
WI,iceoff,2002-03-14,2002,73
WI,iceoff,2003-03-24,2003,83
WI,iceoff,2004-03-16,2004,76
WI,iceoff,2005-04-03,2005,93
WI,iceoff,2006-03-14,2006,73
WI,iceoff,2007-03-25,2007,84
WI,iceoff,2008-04-06,2008,97
WI,iceoff,2009-03-18,2009,77
WI,iceoff,2010-03-26,2010,85
WI,iceoff,2011-04-01,2011,91
WI,iceoff,2012-03-08,2012,68
WI,iceoff,2013-04-09,2013,99
WI,iceoff,2014-04-09,2014,99
WI,iceoff,2015-03-21,2015,80
WI,iceoff,2016-03-08,2016,68
WI,iceoff,2017-02-27,2017,58
WI,iceoff,2018-03-24,2018,83
WI,iceoff,2019-03-28,2019,87
WI,iceoff,2020-03-12,2020,72
FI,iceoff,1992-03-16,1992,76
FI,iceoff,1993-04-11,1993,101
FI,iceoff,1994-03-31,1994,90
FI,iceoff,1995-03-31,1995,90
FI,iceoff,1996-03-24,1996,84
FI,iceoff,1997-03-26,1997,85
FI,iceoff,1998-02-27,1998,58
FI,iceoff,1999-03-10,1999,69
FI,iceoff,2000-03-06,2000,66
FI,iceoff,2001-03-31,2001,90
FI,iceoff,2002-02-26,2002,57
FI,iceoff,2003-03-22,2003,81
FI,iceoff,2004-03-20,2004,80
FI,iceoff,2005-03-31,2005,90
FI,iceoff,2006-03-12,2006,71
FI,iceoff,2007-03-26,2007,85
FI,iceoff,2008-04-07,2008,98
FI,iceoff,2009-03-24,2009,83
FI,iceoff,2010-03-25,2010,84
FI,iceoff,2011-04-03,2011,93
FI,iceoff,2012-03-12,2012,72
FI,iceoff,2013-04-11,2013,101
FI,iceoff,2014-04-10,2014,100
FI,iceoff,2015-04-02,2015,92
FI,iceoff,2016-03-13,2016,73
FI,iceoff,2017-03-07,2017,66
FI,iceoff,2018-03-29,2018,88
FI,iceoff,2019-03-31,2019,90
FI,iceoff,2020-03-20,2020,80
AL,iceon,1981-12-09,1981,343
AL,iceon,1982-11-22,1982,326
AL,iceon,1983-11-28,1983,332
AL,iceon,1984-11-09,1984,314
AL,iceon,1985-11-25,1985,329
AL,iceon,1986-11-14,1986,318
AL,iceon,1987-11-23,1987,327
AL,iceon,1988-11-30,1988,335
