lakeid,metric,sampledate,year,daynum
TR,doc,1989-08-23,1989,235
TR,doc,1990-01-16,1990,16
TR,doc,1991-07-31,1991,212
TR,doc,1992-03-04,1992,64
TR,doc,1993-06-01,1993,152
TR,doc,1994-06-28,1994,179
TR,doc,1995-08-24,1995,236
TR,doc,1996-08-05,1996,218
TR,doc,1997-07-30,1997,211
TR,doc,1998-06-16,1998,167
TR,doc,1999-10-18,1999,291
TR,doc,2000-01-19,2000,19
TR,doc,2001-06-27,2001,178
TR,doc,2002-08-13,2002,225
TR,doc,2003-11-21,2003,325
TR,doc,2004-07-20,2004,202
TR,doc,2005-07-13,2005,194
TR,doc,2006-07-10,2006,191
TR,doc,2007-07-17,2007,198
TR,doc,2008-08-27,2008,240
TR,doc,2009-07-20,2009,201
TR,doc,2010-10-25,2010,298
TR,doc,2011-08-25,2011,237
TR,doc,2012-07-24,2012,206
TR,doc,2013-03-28,2013,87
TR,doc,2014-07-16,2014,197
TR,doc,2015-09-11,2015,254
TR,doc,2016-02-01,2016,32
TR,doc,2017-08-10,2017,222
TR,doc,2018-01-24,2018,24
WI,doc,1996-07-10,1996,192
WI,doc,1997-07-08,1997,189
WI,doc,1998-06-10,1998,161
WI,doc,1999-10-25,1999,298
WI,doc,2000-11-20,2000,325
WI,doc,2001-08-28,2001,240
WI,doc,2002-09-26,2002,269
WI,doc,2003-09-04,2003,247
WI,doc,2004-05-13,2004,134
WI,doc,2005-09-29,2005,272
WI,doc,2006-08-09,2006,221
WI,doc,2007-10-31,2007,304
WI,doc,2008-10-06,2008,280
WI,doc,2009-11-04,2009,308
WI,doc,2010-06-10,2010,161
WI,doc,2011-01-27,2011,27
WI,doc,2012-10-30,2012,304
WI,doc,2013-02-25,2013,56
WI,doc,2014-06-12,2014,163
WI,doc,2015-10-15,2015,288
WI,doc,2016-02-05,2016,36
WI,doc,2017-08-09,2017,221
WI,doc,2018-02-26,2018,57
