lakeid,metric,sampledate,year,daynum
BM,iceon,2003-11-27,2003,331
BM,iceon,2004-12-02,2004,337
BM,iceon,2005-12-18,2005,352
BM,iceon,2006-12-03,2006,337
BM,iceon,2007-12-05,2007,339
BM,iceon,2008-12-02,2008,337
BM,iceon,2009-12-04,2009,338
BM,iceon,2010-12-07,2010,341
BM,iceon,2011-12-06,2011,340
BM,iceon,2012-12-04,2012,339
BM,iceon,2013-12-12,2013,346
BM,iceon,2014-11-27,2014,331
BM,iceon,2015-11-21,2015,325
BM,iceon,2016-12-27,2016,362
BM,iceon,2017-12-13,2017,347
BM,iceon,2018-12-11,2018,345
BM,iceon,2019-11-19,2019,323
CB,iceon,NA,1981,NA
CB,iceon,1982-11-23,1982,327
CB,iceon,1983-11-22,1983,326
CB,iceon,1984-11-13,1984,318
CB,iceon,1985-11-07,1985,311
CB,iceon,1986-11-11,1986,315
CB,iceon,1987-11-10,1987,314
CB,iceon,1988-11-22,1988,327
CB,iceon,1989-11-19,1989,323
CB,iceon,1990-11-13,1990,317
CB,iceon,1991-11-26,1991,330
CB,iceon,1992-11-03,1992,308
CB,iceon,1993-11-07,1993,311
CB,iceon,1994-11-08,1994,312
CB,iceon,1995-11-23,1995,327
CB,iceon,1996-11-06,1996,311
CB,iceon,1997-11-12,1997,316
CB,iceon,1998-11-11,1998,315
CB,iceon,1999-12-08,1999,342
CB,iceon,2000-11-26,2000,331
CB,iceon,2001-11-18,2001,322
CB,iceon,2002-12-07,2002,341
CB,iceon,2003-11-14,2003,318
CB,iceon,2004-11-05,2004,310
CB,iceon,2005-11-23,2005,327
CB,iceon,2006-11-17,2006,321
CB,iceon,2007-11-30,2007,334
CB,iceon,2008-11-15,2008,320
CB,iceon,2009-11-18,2009,322
CB,iceon,2010-12-01,2010,335
CB,iceon,2011-11-22,2011,326
CB,iceon,2012-11-17,2012,322
CB,iceon,2013-11-27,2013,331
CB,iceon,2014-11-19,2014,323
CB,iceon,2015-11-10,2015,314
CB,iceon,2016-11-22,2016,327
CB,iceon,2017-12-06,2017,340
CB,iceon,2018-11-07,2018,311
CB,iceon,2019-11-09,2019,313
CR,iceon,NA,1981,NA
CR,iceon,1982-12-11,1982,345
CR,iceon,1983-12-07,1983,341
CR,iceon,1984-12-02,1984,337
CR,iceon,1985-12-02,1985,336
CR,iceon,1986-11-25,1986,329
CR,iceon,1987-11-19,1987,323
CR,iceon,1988-12-02,1988,337
CR,iceon,1989-12-02,1989,336
CR,iceon,1990-11-22,1990,326
CR,iceon,1991-12-03,1991,337
CR,iceon,1992-11-26,1992,331
CR,iceon,1993-12-01,1993,335
CR,iceon,1994-12-01,1994,335
CR,iceon,1995-12-02,1995,336
CR,iceon,1996-11-23,1996,328
CR,iceon,1997-11-26,1997,330
CR,iceon,1998-11-24,1998,328
CR,iceon,1999-12-21,1999,355
CR,iceon,2000-12-16,2000,351
CR,iceon,2001-12-05,2001,339
CR,iceon,2002-12-26,2002,360
CR,iceon,2003-11-27,2003,331
CR,iceon,2004-12-02,2004,337
CR,iceon,2005-12-18,2005,352
CR,iceon,2006-12-03,2006,337
CR,iceon,2007-12-05,2007,339
